"Table 1.  Overview of 60 studies (1985–2023) included in the comprehensive review and meta-analysis of Hg levels in controls and cases as follows:  25 studies (1985–2023)  included  in  the  systematic  review  and  meta-analysis  of  Hg  levels  in  hair  (µg/g),  15  studies  (2004–2023)  included  in  the  systematic  review  and meta-analysis of Hg levels in whole blood (µg/L), 6 studies (2011–2020) included in the systematic review and meta-analysis of Hg levels in plasma (µg/L), 5 studies (2010–2017) included in the comprehensive review and meta-analysis of Hg levels in red blood cells (RBCs) (µg/L), and 9 studies (2003–2020) included in the comprehensive review and meta-analysis of Hg levels in urine (µg/g creatine).",,,,,,,,,
2.,"Li et al., 2018 [91]",China,184/180,6.12 ± 1.69/5.06 ± 1.37,38/146; 30/150,Blood,AAS,13.47 ± 17.24/55.59 ± 52.56,
3.,"Macedoni-Lukšic´ et al., 2015 [92]",Slovenia,22/52,6.6.  ± 3.7/6.2 ± 3.0,11/11; 6/46,Blood,AAS,1.55 ± 0.56/1.90 ± 0.97,
4.,"Zhao et al., 2023 [93]",China,30/30,4.2 ± 1.5/3.8 ± 1.3,15/15; 9/21,Blood,ICP-MS,0.685 ± 0.196/0.796 ± 0.198,
5.,"Yassa, 2014 [94]",Egypt,45/45,12.40 ± 2.04/11.30 ± 1.02,14/31; 13/32,Blood,ICP-MS,0.00 ± 0.00/4.02 ± 0.54,
6.,"Stamova et al., 2011 [95]",USA,51/33,2.3–4.7/2.6–4.0,0/51; 0/33,Blood,ICP-MS,0.6 ± 0.82/0.46 ± 0.73,
7.,"Hertz-Picciotto et al., 2010 [96]",USA,143/249,2–5/2–5,27/116; 28/221,Blood,ICP-MS,0.8 ± 1.3/0.49 ± 1.08,
8.,"Ip et al., 2004 [77]",Japan,55/82,7.8 ± 0.4/7.0 ± 0.2,9/46; 9/73,Blood,AAS,19.53 ± 5.65/17.68 ± 2.48,
9.,"Rahbar et al., 2013 [97]",Jamaica,65/65,2–8/2–8,not specified,Blood,ICP-MS,0.98 ± 0.79/0.83 ± 0.67,
10.,"Yau et al., 2014 [98]","USA, Mexico",78/149,6.6 ± 3.7/6.2 ± 3.0,16/133; 10/68,Blood,ICP-MS,0.32 ± 0.01/0.48 ± 0.13,
11.,"McKean et al., 2015 [99]",USA,58/164,2–8/2.8,22/36; 149/17,Blood,ICP-MS,4.29 ± 0.84/4.73 ± 0.85,
12.,"Albizzati et al., 2012 [85]",Italy,20/17,10.41 ± 3.05/11.52 ± 3.20,6/14; 2/15,Blood,ICP-MS,0.57 ± 0.34/0.67 ± 0.31,
13.,"Mostafa and Al-Ayadhi, 2015 [100]",Saudi Arabia,100/100,8.3 ± 1.6/8.1 ± 1.7,23/77; 22/78,Blood,AAS,0.43 ± 0.14/0.19 ± 0.62,
14.,"Mostafa et al., 2016 [101]",Saudi Arabia,84/84,7.0 ± 1.8/6.8 ± 1.5,24/60; 22/62,Blood,AAS,0.50 ± 0.14/0.8 ± 0.34,
15.,"Mostafa and Refai., 2007 [102]",Egypt,40/40,5.25 ± 1.80/5.38 ± 1.85,9/31; 9/31,Blood,AAS,3.9 ± 1.80/19.8 ± 13.90,
Table 1. Cont.,,,,,,,,,
,Study,Country,Sample Size Controls/CaseS,Age Controls/Cases,Gender (Fem/Male) Controls/Cases,Biological Material,Analytical Technique,Mercury Level (Mean ± SD) Controls/Cases,
Plasma,,,,,,,,µg/L,
1.,"Chehbani et al., 2020 [103]",Tunisia,70/89,7.81 ± 3.32/7.52 ± 3.02,29/41; 15/74,Plasma,AAS,0.77 ± 0.53/0.86 ± 1.24,
2.,"Khaled et al., 2016 [104]",Egypt,40/40,5.23 ± 1.25/4.12 ± 0.94,12/28; 8/32,Plasma,AAS,12.08 ± 4.5/32.9 ± 16.4,
3.,"Qin et al., 2018 [62]",China,38/34,4.29 ± 1.73/4.10 ± 0.81,17/21; 14/20,Plasma,ICP-OES,1.13 ± 1.05/3.89 ± 0.82,
4.,"Zhang et al., 2022 [105]",China,30/30,4.21 ± 0.93/4.03 ± 1.12,6/24; 6/24,Plasma,ICP-MS,0.96 ± 0.2/0.81 ± 0.22,
5.,"Vergani et al., 2011 [106]",Italy,32/28,Not specified/2–6,12/20; 7/21,Plasma,ICP-OES,0.00 ± 0.00/3.21 ± 1.72,
6.,"Macedoni-Lukšic´ et al., 2015 [92]",Slovenia,14/42,6.6 ± 3.7/6.2 ± 3.0,7/7; 5/37,Serum,AAS,1.55 ± 0.56/1.90 ± 0.97,
RBCs,,,,,,,,µg/L,
1.,"El-Ansary et al., 2017 [37]",Saudi Arabia,30/35,7.2 ± 2.14/7.0 ± 2.34,Not specified,RBCs,AAS,2.71 ± 0.57/3.66 ± 1.13,
2.,"Alabdali et al., 2014 [107]",Saudi Arabia,32/100,7.2 ± 2.0/7.0 ± 2.34,Not specified; 0/100,RBCs,AAS,5.12 ± 0.83/6.99 ± 0.94,
3.,"Geier et al., 2010 [108]",USA,89/83,11.4 ± 2.2/7.3 ± 3.7,19/70; 5/58,RBCs,Hg vaporimeter,10.7 ± 4.3/22.2 ± 12.1,
4.,"Adams et al., 2013 [90]",USA,44/55,11.0 ± 3.1/10.0 ± 3.1,5/39; 6/49,RBCs,ICP-MS,1.3 ± 1.2/1.2 ± 0.81,
5.,"El-Ansary., 2016 [109]",Saudi Arabia,20/20,7.4/7.4,Not specified,RBCs,AAS,4.64 ± 0.68/6.93 ± 0.94,
Urine,,,,,,,,µg/g creatinine,
1.,"Adams et al., 2013 [90]",USA,44/55,11.0 ± 3.1/10.0 ± 3.1,5/39; 6/49,Urine,ICP-MS,2.58 ± 1.10/1.01 ± 3.90,
2.,"Blaurock-Bush et al., 2011 [67]",Saudi Arabia,25/25,6.25 ± 2.31/5.29 ± 1.90,6/19; 3/22,Urine,ICP-MS,1.10 ± 0.63/2.48 ± 2.34,
3.,"Metwally et al., 2015 [110]",Egypt,75/55,4.02 ± 4.01,18/57; 16/39,Urine,ICP-MS,2.22 ± 0.35/11.3 ± 6.63,
4.,"Wright et al., 2012 [111]",UK,28/47,12.6 ± 3.5/9.6 ± 3.6,15/13; 10/37,Urine,ICP-MS,5.4 ± 5.07/4.97 ± 3.04,
5.,"Woods et al., 2010 [112]",USA,59/59,6.39 ± 3.06/6.01 ± 2.14,0/59; 0/59,Urine,ICP-MS,0.29 ± 0.53/0.36 ± 0.62,
6.,"Bradstreet et al., 2003 [113]",USA,18/221,8.85/6.25,4/14; 38/183,Urine,ICP-MS,1.29 ± 1.54/4.06 ± 8.59,
7.,"Albizzati et al., 2012 [85]",Italy,20/17,10.41 ± 3.05/11.52 ± 3.2,6/14; 2/15,Urine,ICP-MS,0.69 ± 0.07/0.70 ± 0.07,
8.,"Nabgha-e-Amen et al., 2020 [78]",Pakistan,76/90,3–11/3–11,22/54; 20/70,Urine,ICP-MS,1.0 ± 0.31/1.3 ± 0.27,
9.,"Gil-Hernandez et al., 2020 [76]",Spain,54/54,Not specified,Not specified,Urine,AAS,0.33 ± 0.42/0.54 ± 0.78,
Abbreviations:   ICP-MS  (Inductively  Coupled  Plasma-Mass  Spectrometry);  ICP-OES  (Inductively  Coupled  Plasma-Optical  Emission  Spectrometry);  AAS  (Atomic  Absorption Spectrometry); AFS (Atomic Fluorescence Spectroscopy). Number of controls: 1134 (hair); 1019 (whole blood); 224 (plasma); 215 (RBCs); 399 (urine). Total number of controls: 2991. Number of cases: 1361 (hair); 1345 (whole blood); 263 (plasma); 293 (RBCs); 623 (urine). Total number of cases: 3892. Total number of participants enrolled in the meta-analysis: 6883.,,,,,,,,,
